GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;83,0;78,9;87,7;89,1;89,3;68,4;70,1;-;67,0;62,5;68,3;69,9;71,2;55,5;51,0;48,2;68,8;105,8;536,6;360,1;554,8;666,5;.;-;41,3;42,1;36,5;29,7;37,1;81,1;-;76,9;80,9;91,1;84,8;97,3;514,9;-
051;  Düsseldorf, Regierungsbezirk;83,4;80,9;88,9;90,2;90,5;64,7;x;-;65,9;69,8;68,0;68,3;68,9;58,6;53,5;46,0;74,4;109,4;557,0;363,3;589,4;642,6;.;-;48,2;41,7;39,6;34,0;40,0;91,6;-;83,0;92,8;94,9;82,1;77,6;528,1;-
05111;    Düsseldorf, krfr. Stadt;68,4;66,6;73,2;76,2;76,6;64,1;x;-;52,6;-;57,5;61,2;64,2;49,3;43,0;-;40,9;94,5;.;.;601,0;541,0;.;-;27,0;.;38,0;.;-;83,8;-;78,5;85,0;89,5;65,0;-;544,5;-
05112;    Duisburg, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;.;.;.;.;585,0;.;-;.;.;.;-;-;.;-;.;85,0;.;.;.;.;-
05113;    Essen, krfr. Stadt;.;.;.;.;80,7;.;x;-;52,1;.;.;.;63,2;.;47,8;-;61,9;.;.;.;.;.;.;-;.;.;45,0;-;-;.;-;.;60,0;.;.;.;480,0;-
05114;    Krefeld, krfr. Stadt;.;.;100,1;101,0;101,4;81,4;x;-;85,3;-;.;82,2;82,6;69,7;67,0;.;84,3;118,0;.;.;.;610,0;.;-;-;-;44,0;-;-;.;-;81,0;83,0;96,0;.;-;525,0;-
05116;    Mönchengladbach, krfr. Stadt;.;.;103,1;103,2;103,5;81,4;x;-;85,3;-;.;82,9;83,6;69,7;67,0;.;84,8;110,0;676,3;435,5;718,4;350,0;.;-;-;.;.;.;-;.;-;105,0;110,0;120,0;.;.;610,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;.;.;.;.;x;-;.;.;.;.;.;-;.;-;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;.;.;-
05119;    Oberhausen, krfr. Stadt;.;.;.;.;98,3;.;x;-;71,1;-;.;.;.;-;60,3;-;74,8;115,0;.;.;549,1;-;.;-;-;-;35,0;.;-;.;-;.;110,0;.;.;-;580,0;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;x;-;-;.;.;.;.;-;.;-;.;-;.;-;.;-;.;-;-;-;.;-;-;.;-;.;.;.;-;-;.;-
05122;    Solingen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;-;.;.;.;-;.;-;-;.;.;-;-;.;-;.;.;.;.;-;.;-
05124;    Wuppertal, krfr. Stadt;.;.;.;.;.;-;x;-;-;-;.;.;58,3;.;42,1;-;77,8;-;.;-;.;530,0;.;-;-;-;38,0;-;-;.;-;.;.;.;.;-;520,0;-
05154;    Kleve, Kreis;86,4;82,2;90,3;90,8;91,2;66,6;x;-;54,9;43,6;65,9;65,0;65,5;54,3;48,2;37,1;72,5;107,6;611,8;422,0;646,9;664,7;.;-;.;44,0;38,3;34,0;.;95,5;-;84,6;97,2;93,5;86,3;85,0;520,0;-
05158;    Mettmann, Kreis;81,1;81,2;86,3;88,0;88,3;68,7;x;-;71,6;59,5;73,9;78,5;78,9;68,7;51,3;51,2;80,8;79,0;478,8;337,5;484,8;654,0;.;-;-;.;41,0;.;-;.;-;69,0;74,2;86,3;64,0;.;470,0;-
05162;    Rhein-Kreis Neuss;.;.;89,2;90,0;90,4;55,0;x;-;69,5;79,3;.;65,8;66,4;57,2;54,2;.;75,4;106,6;477,5;298,9;491,4;677,2;.;-;50,0;38,0;42,0;34,0;40,0;75,3;-;74,7;77,7;72,0;65,5;70,0;466,8;-
05166;    Viersen, Kreis;.;.;.;89,6;89,6;81,5;x;-;70,4;.;.;69,4;70,0;53,5;56,7;.;77,4;115,3;512,1;312,4;552,0;679,6;.;-;.;.;40,3;-;-;.;-;73,6;81,8;88,0;87,8;.;465,4;-
05170;    Wesel, Kreis;80,2;76,2;85,1;88,2;88,6;59,0;x;-;63,9;74,3;68,7;67,2;67,7;61,4;56,5;53,7;74,8;113,6;554,8;260,0;594,6;630,4;.;-;.;.;37,6;.;-;.;-;96,6;94,9;109,0;85,0;.;583,1;-
053;  Köln, Regierungsbezirk;84,4;84,2;90,4;91,1;91,2;74,2;70,1;-;70,2;49,6;70,3;72,0;75,5;56,1;50,9;47,3;69,3;102,4;551,7;391,3;570,6;679,2;.;-;41,1;40,6;39,9;30,0;.;74,7;-;70,5;74,6;89,3;85,6;92,3;539,3;-
05313;    Aachen, krfr. Stadt;.;.;87,3;87,6;87,7;83,4;x;-;77,7;-;.;71,3;72,2;57,7;61,2;.;55,9;-;.;-;.;680,0;.;-;.;-;48,0;.;-;.;-;82,5;77,5;90,0;.;-;512,5;-
05314;    Bonn, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;.;.;-;.;-;.;.;.;.;.;.;-
05315;    Köln, krfr. Stadt;.;.;.;84,8;84,8;77,3;x;-;64,4;.;.;70,9;71,5;69,7;57,4;.;74,8;100,0;553,3;435,5;584,1;615,0;.;-;-;32,0;44,0;-;-;.;-;80,0;70,0;.;.;.;610,0;-
05316;    Leverkusen, krfr. Stadt;.;74,7;81,7;82,2;82,8;59,0;x;-;68,2;-;64,9;67,4;69,0;44,8;52,6;-;77,8;.;.;-;.;505,0;.;-;-;-;.;.;-;.;-;80,0;60,0;.;-;.;315,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05354;    Aachen, Kreis;.;.;.;.;97,3;.;x;-;65,7;.;.;.;80,3;.;58,0;.;77,6;-;566,2;379,8;581,3;667,9;.;-;-;42,0;42,5;-;-;101,4;-;97,8;101,9;107,1;110,0;115,0;574,4;-
05358;    Düren, Kreis;.;.;.;94,1;94,2;84,2;x;-;75,9;.;74,5;75,0;77,7;57,2;59,1;-;77,3;107,1;572,3;401,0;593,1;689,0;.;-;41,1;41,0;41,4;.;-;87,5;-;85,4;86,8;105,1;90,0;75,0;531,1;-
05362;    Rhein-Erft-Kreis;.;.;.;96,2;96,4;73,6;x;-;78,2;.;.;79,0;80,6;67,3;63,8;.;80,8;.;605,0;398,7;640,5;707,1;.;-;.;44,0;40,6;.;.;.;-;87,9;93,2;60,0;.;98,0;567,5;-
05366;    Euskirchen, Kreis;77,6;77,4;86,7;87,7;87,7;81,4;x;-;73,7;49,6;65,6;67,1;76,4;52,9;44,0;48,8;64,0;100,0;573,3;392,0;597,7;623,7;.;-;.;.;34,9;.;.;65,9;-;61,6;65,9;81,7;99,5;86,0;528,4;-
05370;    Heinsberg, Kreis;.;.;.;93,1;93,2;71,6;x;-;65,6;.;.;76,6;76,8;62,2;52,5;.;76,7;113,0;491,1;365,9;501,2;713,8;.;-;.;.;40,7;30,0;-;.;-;88,6;76,4;97,8;76,0;.;541,7;-
