GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;83,2;79,6;85,0;86,3;86,5;66,5;.;-;66,1;58,5;73,0;74,8;76,7;52,2;52,2;47,4;72,9;103,3;468,9;352,2;481,4;705,5;.;-;42,2;42,7;42,5;29,7;43,2;80,6;-;75,2;81,5;89,3;82,3;95,6;490,8;-
051;  Düsseldorf, Regierungsbezirk;83,8;80,6;85,9;87,3;87,6;67,7;.;-;62,0;50,0;71,9;74,5;76,0;51,1;55,0;41,3;72,4;117,2;491,1;372,5;510,9;709,5;.;-;44,9;43,1;44,2;37,5;37,3;91,7;-;82,6;93,4;92,6;80,0;85,1;522,2;-
05111;    Düsseldorf, krfr. Stadt;.;.;79,1;.;82,5;.;.;-;58,0;-;.;68,6;72,8;51,6;47,9;-;.;.;.;.;.;550,0;.;-;.;.;44,0;.;-;.;-;.;.;.;.;-;.;-
05112;    Duisburg, krfr. Stadt;78,4;.;89,7;.;93,1;.;.;-;69,1;-;.;.;70,8;.;.;.;82,2;101,0;396,8;207,3;415,4;650,0;.;-;.;.;43,0;-;-;74,0;-;.;70,0;.;.;.;580,0;-
05113;    Essen, krfr. Stadt;.;.;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;.;-;-;.;-;.;.;.;.;.;.;-
05114;    Krefeld, krfr. Stadt;.;.;.;.;.;.;.;-;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;.;-;-;.;-;.;.;.;.;-;.;-
05116;    Mönchengladbach, krfr. Stadt;.;.;95,2;95,4;95,6;70,2;.;-;73,7;-;.;.;87,0;.;68,0;.;79,3;120,0;504,0;466,4;510,5;820,0;.;-;-;.;50,0;.;-;80,8;-;75,0;80,0;85,0;.;.;600,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;.;.;.;.;.;-;.;.;.;.;.;-;.;-;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;.;.;-
05119;    Oberhausen, krfr. Stadt;.;.;.;.;85,5;.;.;-;.;-;.;.;.;-;.;-;73,4;.;.;.;.;-;.;-;-;-;.;.;-;.;-;.;.;.;.;-;.;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;.;-;-;.;.;.;.;-;.;-;.;-;.;-;.;-;.;-;-;-;.;-;-;.;-;.;.;.;-;-;.;-
05122;    Solingen, krfr. Stadt;.;.;.;.;.;.;.;-;.;-;.;.;.;.;.;.;.;-;.;.;.;-;.;-;-;.;.;-;-;.;-;.;.;.;.;-;.;-
05124;    Wuppertal, krfr. Stadt;.;.;.;.;.;-;.;-;-;-;.;.;.;.;.;-;.;-;.;-;.;615,0;.;-;-;-;.;-;-;75,7;-;75,0;75,0;85,0;80,0;-;440,0;-
05154;    Kleve, Kreis;88,8;82,7;87,8;88,3;88,7;68,1;.;-;53,6;42,4;72,3;74,1;75,2;53,4;51,4;33,5;71,8;120,0;539,0;393,2;565,9;699,0;.;-;.;40,0;41,2;38,0;37,0;90,7;-;82,7;92,4;85,8;86,6;90,0;523,9;-
05158;    Mettmann, Kreis;82,0;82,0;85,1;87,6;88,0;62,7;.;-;63,1;57,8;77,7;84,3;85,4;54,9;52,6;50,2;75,8;82,5;.;.;478,0;689,2;.;-;-;.;45,4;.;-;.;-;71,0;86,8;93,3;59,0;.;445,0;-
05162;    Rhein-Kreis Neuss;.;.;.;87,2;87,4;74,0;.;-;69,2;.;.;81,2;82,6;60,6;60,3;.;74,6;99,5;422,3;338,4;428,8;721,2;.;-;44,9;50,6;47,4;36,0;52,0;73,9;-;72,8;75,9;71,7;64,4;80,0;511,8;-
05166;    Viersen, Kreis;.;.;.;88,1;88,2;70,4;.;-;63,7;.;.;80,3;80,9;61,0;62,6;.;75,3;111,0;453,6;354,7;473,3;687,8;.;-;.;.;36,7;-;-;.;-;76,2;80,0;88,4;75,0;.;423,7;-
05170;    Wesel, Kreis;77,8;72,5;79,9;82,9;83,1;58,2;.;-;59,8;57,8;66,3;66,1;68,0;44,1;50,1;47,8;71,0;120,8;540,0;308,1;571,3;697,6;.;-;.;42,0;46,0;.;-;.;-;100,0;101,6;115,7;85,0;.;572,9;-
053;  Köln, Regierungsbezirk;85,1;85,0;88,9;89,6;89,8;73,3;.;-;66,5;48,2;76,4;78,7;84,0;54,0;55,6;38,0;70,3;93,8;478,4;340,9;494,6;710,5;.;-;44,9;38,8;44,8;28,0;.;76,4;-;68,9;76,4;101,0;91,0;98,5;514,0;-
05313;    Aachen, krfr. Stadt;.;.;84,0;84,4;84,5;81,3;.;-;68,2;-;.;74,2;74,9;64,0;61,3;.;66,5;-;.;-;.;650,0;.;-;.;-;.;.;-;.;-;83,0;83,5;.;.;-;500,0;-
05314;    Bonn, krfr. Stadt;.;.;.;.;83,5;.;.;-;.;-;.;.;78,9;.;.;-;.;.;.;.;.;710,0;.;-;.;.;46,0;.;-;.;-;.;.;.;.;.;.;-
05315;    Köln, krfr. Stadt;.;.;.;78,0;78,0;66,2;.;-;66,3;.;.;70,6;75,9;57,3;57,4;.;73,4;90,0;421,5;310,9;450,5;715,0;.;-;-;.;45,0;-;-;.;-;60,0;65,0;.;.;.;400,0;-
05316;    Leverkusen, krfr. Stadt;78,9;78,5;84,9;85,6;86,0;67,2;.;-;64,5;-;69,6;74,7;77,4;38,2;57,4;-;78,3;.;.;-;.;570,0;.;-;-;-;48,0;.;-;.;-;84,5;74,0;.;-;60,0;290,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05354;    Aachen, Kreis;.;.;.;.;98,3;.;.;-;73,7;.;.;.;84,9;.;66,1;.;77,7;-;556,3;346,1;573,2;740,1;.;-;-;.;48,1;-;-;101,7;-;104,3;101,0;109,3;115,0;130,0;533,6;-
05358;    Düren, Kreis;.;70,5;.;94,7;94,8;82,9;.;-;77,1;.;82,7;83,6;87,7;57,1;60,3;-;81,5;100,7;497,2;380,3;511,3;716,9;.;-;42,4;39,0;45,2;28,0;-;.;-;66,2;70,6;110,4;88,5;.;581,5;-
05362;    Rhein-Erft-Kreis;.;.;.;92,6;92,8;74,3;.;-;74,1;.;.;82,6;86,1;56,9;63,3;.;76,3;97,6;492,5;358,6;515,5;694,9;.;-;48,0;38,0;46,6;.;.;.;-;.;.;.;.;94,5;530,4;-
05366;    Euskirchen, Kreis;78,6;78,5;84,6;86,2;86,4;60,6;.;-;56,6;48,2;70,8;72,5;86,3;51,5;54,9;38,0;63,9;95,0;363,6;229,1;381,7;707,8;.;-;.;.;44,7;.;.;65,6;-;59,5;65,5;86,0;115,0;126,4;468,6;-
05370;    Heinsberg, Kreis;.;.;.;86,3;86,4;66,2;.;-;61,8;.;.;81,7;81,9;64,6;50,9;.;73,9;92,1;447,7;272,7;461,8;746,4;.;-;39,0;40,0;42,6;.;-;.;-;88,4;69,7;114,0;76,0;.;558,1;-
05374;    Oberbergischer Kreis;.;.;.;.;54,1;.;.;-;.;.;.;47,2;48,6;44,9;44,4;.;56,8;.;.;.;292,5;.;.;-;.;-;.;-;-;78,0;-;65,2;79,9;88,8;95,0;-;330,0;-
