GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;67,6;63,3;70,9;72,8;72,9;57,3;58,4;-;46,3;49,4;54,8;56,1;57,2;43,3;43,1;42,3;53,9;96,1;450,7;342,9;465,1;664,3;.;-;34,8;39,8;35,0;26,5;36,9;82,4;-;79,4;82,6;87,2;80,6;90,6;482,4;-
051;  Düsseldorf, Regierungsbezirk;69,8;66,4;71,6;73,1;73,3;56,8;x;-;45,0;41,3;58,0;61,3;62,4;43,5;44,0;35,5;55,0;104,4;455,6;350,9;473,1;652,2;.;-;43,8;49,0;35,1;29,6;37,0;87,1;-;79,5;88,3;89,6;74,2;82,6;518,3;-
05111;    Düsseldorf, krfr. Stadt;63,2;62,0;65,4;68,7;69,0;59,9;x;-;42,6;-;57,2;61,2;65,6;43,4;39,1;-;43,2;81,0;420,5;388,1;423,9;519,0;.;-;29,0;.;32,5;.;-;60,9;-;59,0;61,0;63,0;68,0;-;489,0;-
05112;    Duisburg, krfr. Stadt;.;.;.;.;64,5;.;x;-;38,6;-;.;.;45,0;.;37,8;.;38,7;.;.;.;.;.;.;-;.;.;29,0;-;-;.;-;.;.;.;.;.;.;-
05113;    Essen, krfr. Stadt;.;.;.;.;81,4;.;x;-;56,3;.;.;.;71,8;.;53,9;-;64,8;.;.;.;.;.;.;-;.;.;48,0;-;-;.;-;.;.;.;.;.;.;-
05114;    Krefeld, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;103,0;.;.;.;655,0;.;-;-;-;.;-;-;.;-;62,0;65,0;76,0;.;-;532,0;-
05116;    Mönchengladbach, krfr. Stadt;.;.;61,6;61,6;61,5;71,1;x;-;57,9;-;.;70,4;71,8;44,3;52,1;.;64,8;91,0;448,7;301,4;474,5;720,0;.;-;-;.;35,0;.;-;.;-;84,0;92,0;104,0;.;.;480,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;.;.;.;.;x;-;.;.;.;.;.;-;.;-;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;.;.;-
05119;    Oberhausen, krfr. Stadt;.;.;.;.;64,5;.;x;-;46,6;-;.;.;.;-;.;-;54,0;110,0;509,3;.;555,9;-;.;-;-;-;34,0;.;-;.;-;.;.;95,0;.;-;580,0;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;x;-;-;.;.;.;.;-;.;-;.;-;.;-;.;-;.;-;-;-;.;-;-;.;-;.;.;.;-;-;.;-
05122;    Solingen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;-;.;.;.;-;.;-;-;.;.;-;-;.;-;.;.;.;.;-;.;-
05124;    Wuppertal, krfr. Stadt;.;.;.;.;.;-;x;-;-;-;.;.;69,0;.;43,2;-;72,0;-;.;-;.;590,0;.;-;-;-;34,0;-;-;.;-;60,0;62,0;.;70,0;-;430,0;-
05154;    Kleve, Kreis;74,0;68,7;72,3;72,7;72,9;59,5;x;-;41,2;40,8;61,5;64,2;65,2;44,7;42,3;35,3;57,6;101,3;480,3;359,3;502,6;657,2;.;-;43,8;42,0;33,6;28,0;.;94,5;-;83,3;96,8;90,3;72,9;85,0;537,2;-
05158;    Mettmann, Kreis;70,0;69,8;74,2;77,3;77,5;59,9;x;-;47,5;48,8;63,5;69,6;70,6;42,1;40,0;35,5;62,3;82,9;524,6;317,3;533,3;628,1;.;-;-;57,0;34,9;29,6;-;.;-;79,6;75,3;86,6;90,0;.;530,0;-
05162;    Rhein-Kreis Neuss;73,4;72,3;76,9;77,8;78,1;53,2;x;-;57,1;41,3;60,6;63,5;64,7;45,8;46,8;37,1;58,9;102,6;385,6;284,5;393,4;637,1;.;-;45,0;53,4;34,8;34,0;37,0;70,9;-;71,8;67,5;77,2;70,9;80,0;417,5;-
05166;    Viersen, Kreis;73,8;70,7;73,5;73,8;73,9;54,5;x;-;50,6;41,3;62,3;63,8;64,6;42,6;51,1;47,0;63,0;115,1;454,5;363,1;472,8;662,7;.;-;43,8;57,0;40,9;-;-;.;-;74,7;76,3;83,3;70,2;.;423,4;-
05170;    Wesel, Kreis;63,7;58,1;65,0;68,7;68,9;48,4;x;-;40,0;39,9;52,2;54,0;55,0;42,3;41,5;35,6;51,7;110,2;461,6;338,2;478,3;662,4;.;-;.;.;36,9;.;-;88,1;-;89,7;87,1;98,9;72,9;82,6;554,3;-
053;  Köln, Regierungsbezirk;73,9;73,6;78,2;78,9;79,2;59,5;58,4;-;53,2;44,4;63,2;65,3;69,3;46,6;43,7;37,3;56,9;100,1;511,3;369,9;527,9;680,8;.;-;33,3;23,5;36,6;34,0;.;79,7;-;76,5;79,5;89,6;91,0;95,8;516,7;-
05313;    Aachen, krfr. Stadt;.;.;69,5;69,6;69,2;81,3;x;-;65,9;-;.;.;74,7;.;61,1;.;70,2;-;322,6;-;322,6;.;.;-;.;-;.;.;-;.;-;87,5;.;90,0;.;-;.;-
05314;    Bonn, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;.;.;-;.;-;76,5;79,5;89,6;.;.;.;-
05315;    Köln, krfr. Stadt;.;.;.;77,4;77,4;52,8;x;-;54,7;.;.;56,3;64,7;35,4;39,6;.;64,8;110,0;446,0;253,8;496,4;.;.;-;-;28,0;.;-;-;.;-;76,5;70,0;.;.;.;.;-
05316;    Leverkusen, krfr. Stadt;.;.;72,9;73,5;74,4;61,0;x;-;54,7;-;.;.;65,1;.;49,4;-;68,4;108,0;417,0;-;417,0;490,0;.;-;-;-;36,6;.;-;.;-;84,0;55,0;89,6;-;.;360,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05354;    Aachen, Kreis;.;.;.;81,3;81,7;59,5;x;-;52,3;.;.;74,1;74,4;45,0;55,9;.;72,6;-;474,5;388,7;481,5;696,2;.;-;-;23,5;36,1;-;-;94,5;-;92,5;94,5;114,2;91,0;115,0;620,6;-
05358;    Düren, Kreis;81,0;80,7;83,8;84,2;84,6;57,7;x;-;59,6;43,6;71,6;72,4;75,2;54,1;51,7;-;70,0;106,0;533,2;391,5;550,3;684,9;.;-;40,3;38,0;38,9;34,0;-;88,8;-;89,3;88,2;90,7;90,0;95,8;524,1;-
05362;    Rhein-Erft-Kreis;.;.;.;80,7;80,9;59,5;x;-;59,5;.;.;67,2;69,7;48,8;48,4;.;.;96,9;463,5;364,9;480,4;694,2;.;-;.;.;36,1;.;.;.;-;.;84,0;90,0;.;96,0;522,9;-
05366;    Euskirchen, Kreis;63,7;63,4;70,5;71,5;71,7;57,7;x;-;52,7;44,4;54,6;56,3;63,2;45,7;38,6;35,5;46,3;100,0;445,5;369,8;455,7;669,0;.;-;29,6;36,0;33,4;.;.;78,4;-;71,5;78,9;102,3;96,3;90,0;468,2;-
05370;    Heinsberg, Kreis;76,8;76,1;78,3;78,6;79,0;57,9;x;-;50,1;45,2;69,3;71,4;71,6;51,0;47,0;37,3;64,0;112,7;554,4;343,9;571,4;708,0;.;-;.;.;37,4;.;-;.;-;68,8;73,5;84,2;109,1;.;554,0;-
