GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
05374;    Oberbergischer Kreis;.;46,2;.;.;52,1;.;x;-;46,8;.;43,7;42,7;44,1;40,3;42,3;40,0;50,3;.;242,6;369,9;218,4;.;.;-;33,3;-;.;-;-;72,0;-;74,1;71,5;89,4;80,0;-;455,9;-
05378;    Rheinisch-Bergischer Kreis;.;37,7;.;40,6;40,7;36,6;x;-;28,9;.;34,4;37,8;37,4;48,6;28,8;-;30,6;.;.;.;.;.;.;-;.;.;.;-;.;.;-;.;.;.;.;-;.;-
05382;    Rhein-Sieg-Kreis;69,3;69,3;.;74,1;74,3;62,4;x;-;37,9;.;62,6;66,7;68,1;46,5;38,5;40,0;49,8;70,0;313,9;317,3;313,4;578,2;.;-;33,3;22,0;38,9;.;.;.;-;75,0;82,5;80,4;65,4;.;455,8;-
055;  Münster, Regierungsbezirk;67,5;56,9;64,0;67,0;67,1;55,8;x;-;43,4;45,9;50,8;51,3;51,9;40,2;40,6;41,0;50,9;96,8;341,1;290,9;348,9;542,8;.;-;34,0;38,6;33,6;24,7;37,2;83,1;-;82,3;83,0;84,6;80,5;82,0;472,5;-
05512;    Bottrop, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;.;.;.;.;-;.;-;-;-;-;.;-;.;-;.;.;.;.;-;.;-
05513;    Gelsenkirchen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;.;.;-;-;.;-;-;-;.;-;.;.;.;-;-;.;-
05515;    Münster, krfr. Stadt;70,5;61,2;72,9;74,6;74,6;53,4;x;-;49,7;47,2;49,9;50,3;51,0;37,3;39,8;37,6;50,8;97,5;317,2;311,5;317,7;590,1;.;-;40,0;45,0;31,0;23,0;-;.;-;83,5;88,0;89,0;78,0;.;473,3;-
05554;    Borken, Kreis;71,5;58,7;64,5;67,4;67,5;55,7;x;-;48,4;45,9;55,2;55,8;56,4;45,2;41,6;41,1;54,2;97,5;336,8;297,6;344,5;556,1;.;-;34,0;37,7;31,4;24,7;.;84,2;-;85,9;85,0;80,1;80,0;82,0;484,5;-
05558;    Coesfeld, Kreis;70,5;59,9;65,0;66,0;66,0;57,7;x;-;45,2;47,2;51,4;51,6;51,8;44,7;42,2;41,1;53,1;100,6;398,2;415,3;397,1;542,8;.;-;.;38,6;34,9;.;-;.;-;84,0;89,8;93,1;.;.;479,6;-
05562;    Recklinghausen, Kreis;69,1;56,9;.;70,6;70,8;55,8;x;-;42,7;.;53,8;53,8;54,4;42,2;42,2;36,7;58,0;113,4;314,5;228,4;328,0;280,0;.;-;-;-;35,4;.;-;.;-;94,4;92,5;108,2;.;.;484,2;-
05566;    Steinfurt, Kreis;62,5;50,0;56,1;60,6;60,7;52,3;x;-;40,7;39,3;47,2;47,4;48,5;37,3;38,3;42,4;47,3;95,2;320,3;261,7;327,5;599,9;.;-;34,0;43,8;30,3;17,0;37,2;77,8;-;77,4;78,2;76,0;80,0;82,0;456,4;-
05570;    Warendorf, Kreis;66,7;59,6;67,2;69,6;69,7;58,3;x;-;43,4;49,4;51,6;51,4;51,8;40,2;41,0;43,0;54,3;91,0;369,5;317,4;373,8;603,9;.;-;.;34,0;34,1;26,7;-;.;-;78,8;77,6;84,1;82,0;.;464,7;-
057;  Detmold, Regierungsbezirk;64,2;61,9;70,1;72,2;72,4;55,8;x;-;48,0;59,2;54,8;55,5;56,3;42,7;44,8;44,9;55,9;90,4;381,8;265,7;387,8;627,7;.;-;33,5;38,6;35,8;24,2;37,2;81,4;-;79,7;80,9;90,4;80,3;70,0;462,2;-
05711;    Bielefeld, krfr. Stadt;.;.;.;.;72,3;.;x;-;51,6;.;.;59,8;61,6;45,0;44,2;.;62,1;100,0;388,8;249,2;397,1;676,8;.;-;42,0;44,0;35,3;-;.;.;-;105,0;90,0;.;.;-;447,5;-
05754;    Gütersloh, Kreis;63,4;57,3;67,5;78,5;79,1;53,3;x;-;47,1;61,2;53,0;54,4;55,9;39,0;40,2;41,2;51,6;82,4;364,7;228,1;373,8;569,2;.;-;32,9;45,0;37,3;24,2;37,2;87,4;-;84,5;88,2;85,9;103,7;70,0;379,6;-
05758;    Herford, Kreis;67,1;66,6;75,0;75,7;75,7;68,4;x;-;54,3;-;58,6;59,4;59,9;48,7;48,6;44,7;61,2;86,8;403,2;300,2;409,4;668,9;.;-;33,5;34,6;38,8;22,0;-;88,0;-;80,5;86,9;112,6;71,4;-;506,1;-
05762;    Höxter, Kreis;65,3;65,1;70,9;71,2;71,3;59,1;x;-;50,2;48,1;57,4;58,6;59,3;46,2;44,6;50,4;58,3;97,2;302,6;317,0;300,3;603,1;.;-;35,4;38,3;35,2;30,0;-;.;-;78,3;77,0;87,9;62,8;.;501,1;-
05766;    Lippe, Kreis;65,3;65,1;70,3;72,0;72,2;52,3;x;-;52,4;49,0;58,3;60,1;60,8;41,3;43,3;44,6;59,4;103,5;416,2;299,4;420,5;663,3;.;-;36,8;37,0;34,6;21,3;37,2;78,7;-;79,2;76,0;94,6;86,5;70,0;500,2;-
05770;    Minden-Lübbecke, Kreis;.;.;.;74,3;74,5;54,8;x;-;48,5;.;.;53,4;54,0;44,3;45,4;.;56,8;102,6;423,1;301,5;427,2;585,1;.;-;43,0;43,3;36,2;.;-;.;-;71,9;83,2;94,5;.;.;517,7;-
05774;    Paderborn, Kreis;60,6;57,2;66,0;68,2;68,3;55,8;x;-;39,4;62,1;50,3;49,2;49,8;40,4;45,6;45,0;54,8;91,7;289,7;257,8;291,1;410,0;.;-;29,7;32,0;36,0;.;.;.;-;74,9;77,2;85,7;80,4;.;478,5;-
059;  Arnsberg, Regierungsbezirk;66,0;64,3;72,1;73,1;73,3;57,6;x;-;50,5;60,8;55,1;57,0;58,3;42,2;41,8;45,4;56,0;93,2;418,0;276,0;427,1;651,5;.;-;36,6;41,4;33,9;28,1;.;82,5;-;79,7;83,4;81,4;78,0;71,0;460,3;-
05911;    Bochum, krfr. Stadt;.;.;.;.;77,9;.;x;-;52,4;-;.;.;60,2;.;44,2;-;62,1;100,0;.;-;.;-;.;-;35,0;-;30,0;34,0;-;.;-;60,0;60,0;.;.;-;.;-
05913;    Dortmund, krfr. Stadt;.;.;.;.;75,6;.;x;-;62,5;-;.;48,3;47,9;54,8;43,8;.;67,4;94,0;445,7;.;446,7;575,0;.;-;-;28,0;32,0;-;-;.;-;56,0;56,0;.;.;-;490,0;-
05914;    Hagen, krfr. Stadt;.;.;.;.;.;-;x;-;.;-;.;.;52,2;.;.;.;-;-;.;.;.;-;.;-;-;-;30,0;-;-;.;-;65,0;65,0;.;.;-;570,0;-
05915;    Hamm, krfr. Stadt;66,4;62,7;68,6;69,4;69,6;47,4;x;-;47,0;48,1;55,0;57,0;58,3;34,2;45,7;34,8;53,5;93,0;295,8;192,1;297,8;660,9;.;-;-;40,0;32,8;.;-;.;-;68,8;72,8;65,7;72,0;.;524,2;-
05916;    Herne, krfr. Stadt;.;.;.;.;.;-;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;-;.;-;-;-;.;-;-;.;-;.;.;.;-;-;.;-
05954;    Ennepe-Ruhr-Kreis;67,7;.;.;79,9;80,4;67,2;x;-;50,5;.;.;61,4;63,9;36,0;41,0;.;67,9;96,0;270,9;276,0;270,5;-;.;-;-;35,0;31,1;.;-;.;-;80,1;65,9;.;85,0;.;402,9;-
05958;    Hochsauerlandkreis;.;58,3;66,7;67,2;67,3;57,6;x;-;45,9;49,1;51,8;52,8;55,3;41,4;43,4;55,0;53,2;.;201,9;276,0;198,6;651,6;.;-;.;.;30,1;.;-;.;-;81,3;85,3;90,5;90,7;.;413,7;-
05962;    Märkischer Kreis;52,9;52,3;58,4;59,3;59,4;57,3;x;-;42,8;60,8;47,0;50,5;51,6;44,6;31,1;41,2;46,7;90,0;384,4;207,7;407,0;680,1;.;-;36,6;50,0;20,6;.;-;78,4;-;78,1;78,9;63,4;100,0;71,0;418,3;-
05966;    Olpe, Kreis;.;42,3;.;.;53,7;.;x;-;25,2;.;36,7;37,6;38,2;37,1;28,6;27,5;42,7;.;177,0;240,9;175,9;-;.;-;-;-;32,0;.;-;.;-;80,5;79,9;80,5;.;-;342,3;-
05970;    Siegen-Wittgenstein, Kreis;.;38,3;.;51,9;51,5;54,3;x;-;42,8;.;35,1;36,2;41,0;33,4;30,3;45,4;33,6;.;262,3;114,2;289,2;-;.;-;.;-;-;.;.;.;-;92,4;104,4;120,0;117,0;.;350,0;-
05974;    Soest, Kreis;69,4;68,1;74,8;75,7;75,9;60,6;x;-;51,6;66,4;59,1;60,2;60,8;46,2;45,7;48,0;59,9;93,3;447,7;269,3;455,3;653,4;.;-;36,9;45,2;35,9;28,0;-;78,9;-;71,9;80,7;90,2;60,8;71,0;483,0;-
05978;    Unna, Kreis;.;.;.;73,9;74,2;49,4;x;-;49,9;.;.;57,8;58,5;46,2;40,2;.;49,8;92,9;434,1;348,5;441,6;644,0;.;-;.;39,7;34,8;.;-;.;-;64,3;68,3;68,7;90,0;.;508,6;-
__________
"zu ""Fruchtarten"":
ab dem Berichtsjahr 2010 werden folgende Ausprägungen nicht
mehr ausgewiesen:
- Roggen
- Frühkartoffeln
- Mittelfrühe und späte Kartoffeln
- Raufutter
- Klee, Kleegras und Klee-Luzerne-Gemisch
- Luzerne
-----------------------------------------
Ab dem Berichtsjahr 2010 werden folgende neue Ausprägungen
übernommen:
- Getreide zur Ganzpflanzenernte
- Roggen und Wintermenggetreide
- Leguminosen zur Ganzpflanzenernte
- Süßlupinen
 
Außerdem werden für folgende Ausprägungen der Hektarertrag
in Trockenmasse angegeben:
- Wiesen
- Weiden (einschl. Mähweiden und Almen)
- Leguminosen zur Ganzpflanzenernte
- Feldgras/Grasanbau auf dem Ackerland"
© IT.NRW, Düsseldorf, 2018. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 08.03.2018 / 16:23:03
