GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;78,9;75,4;84,3;85,3;85,5;65,4;66,5;-;69,5;65,1;65,4;68,9;70,6;52,2;52,0;47,0;59,5;101,0;472,1;321,7;490,5;635,9;971,6;-;36,3;42,7;38,3;28,6;26,9;86,9;-;85,6;85,8;101,9;85,1;80,7;487,8;-
051;  Düsseldorf, Regierungsbezirk;78,0;74,9;83,5;84,4;84,9;67,3;x;-;68,7;65,3;62,9;67,5;69,5;50,0;53,1;39,0;59,1;104,6;493,7;360,7;508,0;639,7;.;-;34,9;33,9;43,2;23,3;-;101,7;-;95,2;101,9;109,3;94,2;80,7;502,7;-
05111;    Düsseldorf, krfr. Stadt;75,2;74,3;82,1;82,7;83,1;65,2;x;-;79,7;-;61,6;66,0;67,4;52,1;47,0;-;53,5;91,8;367,3;374,9;364,2;559,6;-;-;39,0;-;34,2;-;-;.;-;.;68,0;.;79,0;-;.;-
05112;    Duisburg, krfr. Stadt;.;.;71,2;74,7;75,4;63,8;x;-;58,6;-;.;.;64,6;.;44,5;.;50,1;.;.;.;.;.;.;-;-;-;32,0;.;-;.;-;.;.;.;.;-;.;-
05113;    Essen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;92,0;.;.;.;.;.;-;.;33,9;.;-;-;.;-;.;82,0;.;.;-;470,0;-
05114;    Krefeld, krfr. Stadt;.;.;.;.;81,4;.;x;-;77,5;-;.;.;68,5;.;.;-;67,4;92,0;.;.;.;760,0;-;-;-;-;40,0;-;-;79,6;-;74,0;82,0;86,0;80,0;-;565,0;-
05116;    Mönchengladbach, krfr. Stadt;.;.;.;.;76,5;.;x;-;72,2;.;.;64,5;65,1;34,4;.;.;59,3;90,0;406,8;298,2;417,2;685,0;1150,9;-;-;48,0;44,0;-;-;.;-;85,0;110,5;115,5;-;.;580,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;-;.;-
05119;    Oberhausen, krfr. Stadt;.;.;.;.;83,4;.;x;-;76,4;-;65,4;78,0;78,3;54,0;49,3;-;60,5;118,0;.;.;532,7;-;1072,1;-;-;-;39,0;-;-;.;-;.;.;95,0;-;-;590,0;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;x;-;-;-;.;.;.;-;.;.;.;-;.;-;.;-;.;-;-;-;.;-;-;.;-;.;.;.;.;-;.;-
05122;    Solingen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;-;.;.;.;.;496,6;.;.;.;.;-;.;33,9;.;-;-;.;-;.;.;.;.;-;.;-
05124;    Wuppertal, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;100,0;.;.;543,6;610,0;.;-;-;-;.;.;-;.;-;.;.;.;.;-;475,0;-
05154;    Kleve, Kreis;79,9;76,0;85,0;85,3;85,9;70,2;x;-;58,3;50,0;62,6;65,5;67,2;51,5;48,6;38,6;61,1;99,2;524,0;380,5;544,7;605,2;952,5;-;24,5;23,4;42,4;.;-;99,2;-;88,2;101,5;96,2;86,5;70,0;494,1;-
05158;    Mettmann, Kreis;74,6;74,4;82,4;83,8;84,0;71,5;x;-;68,5;-;64,7;68,9;69,9;57,0;52,0;-;67,4;89,0;448,8;329,2;451,2;585,5;678,3;-;27,0;40,6;43,8;.;-;.;-;139,0;136,7;148,3;83,0;.;523,6;-
05162;    Rhein-Kreis Neuss;86,3;85,4;89,7;89,9;90,4;67,1;x;-;83,4;65,3;73,8;78,7;80,3;57,9;63,7;39,0;68,7;98,8;453,0;373,4;457,3;658,4;956,5;-;45,6;58,0;44,7;-;-;63,9;-;59,0;61,1;72,7;80,0;120,0;432,0;-
05166;    Viersen, Kreis;.;.;.;82,5;82,7;69,7;x;-;.;.;.;70,9;71,4;57,6;57,6;.;63,4;125,0;486,3;333,9;501,5;651,4;911,2;-;.;33,9;72,0;.;-;109,0;-;91,9;110,2;115,3;129,4;-;415,9;-
05170;    Wesel, Kreis;.;.;.;79,7;80,5;61,3;x;-;60,7;.;.;62,9;66,4;46,3;45,8;.;55,0;110,7;539,0;349,8;554,6;599,2;1285,1;-;.;.;47,4;23,3;-;.;-;100,0;100,3;122,6;.;-;561,5;-
053;  Köln, Regierungsbezirk;82,1;82,0;87,1;87,4;87,7;65,6;66,5;-;74,2;52,1;69,8;72,6;79,9;51,6;53,6;39,7;64,1;88,6;506,1;317,8;534,8;637,0;958,0;-;32,6;51,0;38,8;23,3;-;79,8;-;84,5;78,4;95,0;82,6;80,8;466,8;-
05313;    Aachen, krfr. Stadt;.;.;.;87,5;87,6;82,7;x;-;87,9;.;.;85,4;86,4;78,6;58,8;-;72,6;.;336,4;164,6;337,0;660,0;802,2;-;-;-;52,0;-;-;.;-;92,3;83,5;105,0;.;-;465,0;-
05314;    Bonn, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;-;.;-;.;-;.;.;.;.;-;.;-
05315;    Köln, krfr. Stadt;79,8;79,5;86,2;86,9;87,6;61,3;x;-;70,7;-;68,3;69,3;74,4;57,5;62,5;-;60,5;90,0;274,3;308,7;271,8;615,0;.;-;.;51,0;35,0;-;-;.;-;75,0;.;.;.;.;.;-
05316;    Leverkusen, krfr. Stadt;.;.;63,2;62,1;62,6;49,0;x;-;73,3;-;.;.;80,2;.;54,0;-;60,5;.;407,6;226,4;462,1;530,0;601,7;-;-;-;.;.;-;.;-;82,0;64,0;.;-;-;255,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05354;    Aachen, Kreis;.;.;.;.;93,1;.;x;-;80,7;.;.;.;80,2;.;65,0;.;58,4;.;501,7;354,2;517,9;666,9;962,9;-;.;.;36,0;-;-;.;-;117,9;110,3;112,8;.;100,0;454,3;-
05358;    Düren, Kreis;.;.;.;90,0;90,3;71,0;x;-;74,0;.;.;78,7;83,0;55,0;58,3;.;66,8;89,9;506,1;298,4;534,4;631,4;776,4;-;32,3;-;40,1;.;-;.;-;134,7;137,4;71,8;.;.;462,4;-
05362;    Rhein-Erft-Kreis;.;.;.;92,6;92,9;61,3;x;-;81,9;.;.;78,9;82,6;61,9;68,7;.;72,9;94,7;502,8;327,1;548,9;635,1;.;-;.;.;43,4;-;-;.;-;70,0;72,3;86,0;.;80,0;468,2;-
05366;    Euskirchen, Kreis;70,1;70,0;77,8;78,1;78,3;59,4;x;-;77,6;52,1;60,2;62,6;79,6;47,7;40,3;38,6;54,6;80,0;420,7;293,3;440,0;565,8;1009,5;-;.;-;38,2;.;-;.;-;72,5;67,9;92,2;70,0;.;461,7;-
05370;    Heinsberg, Kreis;.;.;.;90,9;90,9;80,5;x;-;80,9;.;.;77,5;79,4;47,7;63,8;.;74,8;104,6;546,4;323,3;570,8;703,9;1013,3;-;.;.;44,1;.;-;.;-;94,8;85,0;99,2;80,0;.;493,1;-
