GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;88,2;84,4;89,4;90,5;90,8;66,0;-;72,7;.;.;77,6;77,8;78,9;59,8;56,3;54,1;79,7;111,7;527,0;.;.;872,5;.;68,1;44,7;46,1;42,9;35,8;37,8;.;309,0;69,1;64,5;75,3;.;.;485,3;28,0
051;  Düsseldorf, Regierungsbezirk;90,7;87,1;92,0;92,8;93,2;70,7;-;71,6;.;.;78,0;79,3;80,0;63,6;64,1;59,6;81,0;118,6;547,9;.;.;863,5;.;79,5;50,3;40,3;44,1;34,3;.;.;204,4;76,6;59,5;76,1;.;.;536,0;30,0
05111;    Düsseldorf, krfr. Stadt;.;.;88,8;91,1;.;.;-;.;.;.;.;.;.;.;.;-;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;.;.;-
05112;    Duisburg, krfr. Stadt;.;.;94,8;98,0;100,3;.;-;.;.;.;.;.;65,2;.;.;.;.;110,0;412,5;.;.;.;.;.;-;-;43,0;-;-;.;-;68,0;51,0;.;.;.;.;.
05113;    Essen, krfr. Stadt;.;.;.;.;.;-;-;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;.;.;-;-;.;230,0;.;.;.;.;.;.;-
05114;    Krefeld, krfr. Stadt;.;.;91,9;92,7;.;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;.;-;-;.;-;.;.;.;.;.;.;-
05116;    Mönchengladbach, krfr. Stadt;.;.;94,8;.;95,2;.;-;.;.;.;.;.;88,9;.;83,7;.;.;.;618,7;.;.;865,0;.;-;-;.;51,0;-;-;.;-;.;.;.;.;.;750,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;92,2;92,3;.;.;-;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;.;-;-;.;-;-;.;-;.;.;.;.;.;.;-
05119;    Oberhausen, krfr. Stadt;.;.;92,3;99,3;99,3;-;-;.;.;.;.;79,0;79,0;-;.;-;.;.;536,2;.;.;-;.;-;-;-;46,0;-;-;.;-;.;59,5;.;.;.;580,0;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;-;-;.;.;.;.;.;-;.;.;.;-;-;.;.;-;.;.;-;-;.;-;-;.;-;.;.;.;.;.;.;-
05122;    Solingen, krfr. Stadt;.;.;88,6;90,7;.;.;-;.;.;.;.;.;.;-;.;.;.;-;.;.;.;-;.;.;-;.;.;-;-;.;-;.;.;.;.;.;.;-
05124;    Wuppertal, krfr. Stadt;.;.;93,0;93,0;.;.;-;-;.;.;.;.;78,0;.;44,6;-;.;.;.;.;.;-;.;-;-;-;42,0;-;-;.;-;.;.;.;.;.;.;-
05154;    Kleve, Kreis;.;.;.;.;97,3;.;-;67,3;.;.;.;81,7;82,4;57,4;52,7;.;81,6;130,1;601,6;.;.;851,7;.;86,7;50,0;42,0;44,2;39,0;.;.;203,3;89,7;63,2;69,4;.;.;543,0;-
05158;    Mettmann, Kreis;77,2;77,0;81,7;83,3;83,6;70,8;-;62,5;.;.;70,1;77,9;78,8;64,9;41,9;-;69,7;105,0;495,0;.;.;706,1;.;64,6;.;.;41,2;-;-;.;.;57,8;56,1;86,3;.;.;500,0;-
05162;    Rhein-Kreis Neuss;89,9;88,8;90,9;91,2;91,7;70,8;-;74,5;.;.;82,0;84,2;85,2;58,7;69,8;.;84,4;111,5;502,1;.;.;880,2;.;60,4;.;39,8;43,8;30,0;.;.;.;51,0;46,8;62,1;.;.;342,2;30,0
05166;    Viersen, Kreis;.;.;.;.;90,2;.;-;77,0;.;.;.;86,3;86,8;72,2;67,0;.;.;110,1;495,7;.;.;858,6;.;.;51,0;.;35,0;-;.;.;.;60,5;68,2;88,0;.;.;469,0;-
05170;    Wesel, Kreis;.;.;.;.;93,9;.;-;74,7;.;.;.;74,1;74,4;67,4;78,1;.;81,1;107,2;548,7;.;.;907,0;.;.;.;40,0;48,1;.;.;.;.;70,9;56,0;77,3;.;.;579,9;-
053;  Köln, Regierungsbezirk;88,6;88,5;91,6;91,9;92,1;73,5;-;69,6;.;.;79,6;82,3;86,0;64,8;54,8;52,8;76,1;93,6;555,8;.;.;880,2;.;63,7;41,2;40,0;44,9;45,0;40,0;.;390,0;63,6;64,6;74,5;.;.;522,5;.
05313;    Aachen, krfr. Stadt;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
05314;    Bonn, krfr. Stadt;.;.;97,8;97,8;98,3;92,1;-;-;.;.;.;86,9;86,9;-;.;-;.;-;.;.;.;810,0;.;63,8;-;-;44,0;-;-;.;-;.;.;.;.;.;.;.
05315;    Köln, krfr. Stadt;.;.;.;92,0;.;.;-;.;.;.;.;.;.;.;.;63,4;64,8;.;.;.;.;.;.;.;.;.;.;-;-;.;.;.;.;.;.;.;.;.
05316;    Leverkusen, krfr. Stadt;81,5;81,3;84,3;84,5;84,5;-;-;67,3;.;.;75,2;79,6;80,0;61,6;58,6;-;74,7;91,0;304,2;.;.;680,0;.;78,2;-;-;45,0;-;-;.;-;68,0;51,0;.;.;.;390,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);.;.;.;100,5;100,5;89,2;-;.;.;.;.;90,6;90,9;82,7;58,9;.;86,0;55,0;649,5;.;.;852,0;.;69,7;-;.;52,1;.;.;.;.;57,9;61,8;58,8;.;.;581,4;-
05354;    Aachen, Kreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05358;    Düren, Kreis;.;.;.;.;93,6;.;-;.;.;.;.;83,6;85,9;66,1;72,5;43,5;.;.;534,2;.;.;903,9;.;.;.;.;47,3;.;-;.;.;64,9;67,5;64,8;.;.;457,4;.
05362;    Rhein-Erft-Kreis;.;.;93,7;.;94,2;.;-;77,0;.;.;.;.;91,1;.;65,1;.;.;93,0;711,5;.;.;897,9;.;.;51,0;.;46,5;.;.;.;.;.;.;.;.;.;632,8;.
05366;    Euskirchen, Kreis;.;.;85,7;.;86,4;.;-;70,0;.;.;.;75,8;84,9;64,8;40,8;.;76,6;.;385,4;.;.;853,6;.;.;.;.;40,2;.;.;.;.;50,5;52,4;71,9;.;.;490,0;-
05370;    Heinsberg, Kreis;.;.;95,6;95,9;96,1;70,2;-;54,8;.;.;.;.;87,9;.;52,7;.;77,7;92,2;492,2;.;.;862,3;.;66,0;32,0;40,0;48,1;45,0;-;.;390,0;76,5;79,5;91,5;.;.;642,0;-
05374;    Oberbergischer Kreis;.;.;63,5;.;62,4;.;-;55,8;.;.;.;54,8;51,3;61,2;55,8;.;70,5;.;.;.;.;-;.;68,0;-;-;.;-;-;.;.;76,2;68,1;85,0;.;.;180,0;-
05378;    Rheinisch-Bergischer Kreis;48,9;47,4;49,2;.;49,1;.;-;41,4;.;.;44,8;49,9;50,4;41,4;37,2;-;53,8;.;.;.;.;.;.;.;.;.;.;-;-;.;.;.;.;.;.;.;.;-
