GENESIS-Tabelle: 41241-02iz
Erntebericht: Hektarerträge nach ausgewählten Fruchtarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(38) - kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erntestatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge;Hektarerträge
;;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten;Fruchtarten
;;Getreide (einschl. Körnermais und CCM);Getreide (ohne Körnermais und CCM);Brotgetreidearten;Weizen;Winterweizen;Sommerweizen;Hartweizen (Durum);Roggen und Wintermenggetreide;Roggen;Wintermenggetreide;Futtergetreidearten;Gerste;Wintergerste;Sommergerste;Hafer;Sommermenggetreide;Triticale;Körnermais/Mais zum Ausreifen (einschl. CCM);Kartoffeln;Frühkartoffeln;Mittelfrühe und späte Kartoffeln;Zuckerrüben;Runkelrüben;Leguminosen zur Ganzpflanzenernte;Erbsen (ohne Frischerbsen);Ackerbohnen;Winterraps;Sommerraps, Winter- und Sommerrübsen;Sonnenblumen;Rauhfutter;Getreide zur Ganzpflanzenernte;Wiesen;Weiden (einschl. Mähweiden und Almen);Feldgras/Grasanbau auf dem Ackerland;Klee, Kleegras und Klee-Luzerne-Gemisch;Luzerne;Silomais/Grünmais (einschl. Lieschkolbenschrot);Süßlupinen
;;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha;dt/ha
05;Nordrhein-Westfalen;73,2;71,2;77,3;78,1;78,3;60,8;61,4;-;65,9;60,1;64,6;67,4;68,9;49,4;48,2;42,9;59,9;87,0;428,5;313,5;442,4;599,8;886,0;-;40,1;40,4;38,2;26,1;30,0;79,3;-;77,3;79,0;86,3;78,0;92,2;416,2;-
051;  Düsseldorf, Regierungsbezirk;71,9;70,4;75,0;75,6;76,1;60,2;x;-;65,7;48,1;63,9;69,1;71,0;53,5;50,4;41,8;60,6;85,2;423,9;346,1;432,3;581,5;861,9;-;36,2;36,3;38,3;23,0;32,0;87,2;-;77,4;88,8;91,0;74,3;62,6;425,9;-
05111;    Düsseldorf, krfr. Stadt;69,3;68,5;72,8;74,0;74,3;62,2;x;-;66,8;-;61,6;67,2;69,2;47,4;42,9;-;52,5;84,0;414,3;371,1;432,2;495,0;-;-;31,0;-;31,5;-;.;63,6;-;63,3;63,3;65,0;72,0;-;498,0;-
05112;    Duisburg, krfr. Stadt;61,1;60,0;.;.;68,7;.;x;-;.;-;52,9;55,9;56,5;51,9;47,5;38,9;51,6;91,0;.;.;.;.;995,5;-;-;-;34,0;.;-;.;-;.;.;.;.;-;.;-
05113;    Essen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;-;.;.;.;-;.;.;-;.;.;.;.;-;.;-
05114;    Krefeld, krfr. Stadt;.;.;.;.;76,3;.;x;-;.;-;.;.;.;.;.;-;64,1;74,0;.;.;.;520,0;-;-;-;-;38,0;-;-;74,0;-;70,0;74,0;84,0;78,0;-;425,0;-
05116;    Mönchengladbach, krfr. Stadt;.;.;.;64,3;64,1;69,7;x;-;72,9;.;.;72,9;73,5;38,9;.;.;61,0;86,0;371,9;296,7;379,1;620,0;.;-;-;36,5;45,5;-;-;90,5;-;85,0;91,0;92,5;-;75,0;457,0;-
05117;    Mülheim an der Ruhr, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;.;.;-;-;.;-;.;.;.;.;-;.;-
05119;    Oberhausen, krfr. Stadt;.;.;.;.;80,3;.;x;-;65,8;-;61,1;66,0;66,2;44,9;43,8;-;60,5;72,0;431,3;223,3;488,5;-;973,7;-;-;-;41,0;-;-;.;-;.;.;95,0;-;-;470,0;-
05120;    Remscheid, krfr. Stadt;.;.;.;.;.;-;x;-;-;-;.;.;.;-;.;.;.;-;.;-;.;-;.;-;-;-;.;-;-;.;-;.;.;.;.;-;.;-
05122;    Solingen, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;-;.;.;.;.;.;.;.;.;.;-;.;.;.;-;-;.;-;.;.;.;.;-;.;-
05124;    Wuppertal, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;78,0;.;.;403,5;560,0;.;-;-;-;.;.;-;.;-;.;.;.;.;-;400,0;-
05154;    Kleve, Kreis;75,0;71,8;76,4;76,6;77,3;60,2;x;-;58,8;48,1;65,1;69,2;70,7;56,8;42,5;42,0;62,9;90,6;472,0;386,7;484,3;577,2;866,0;-;32,0;37,6;36,5;.;32,0;93,4;-;78,0;96,4;88,5;85,0;66,7;457,8;-
05158;    Mettmann, Kreis;71,7;71,8;75,5;76,1;76,3;67,2;x;-;69,0;-;67,4;71,1;71,3;68,8;54,9;-;72,1;61,0;.;.;302,6;556,3;497,8;-;29,0;34,6;40,0;.;-;.;-;73,5;73,4;109,0;67,0;.;410,0;-
05162;    Rhein-Kreis Neuss;75,8;75,4;77,4;77,4;77,9;56,9;x;-;75,7;48,1;70,1;77,7;79,4;55,5;51,4;41,8;66,7;81,2;356,3;251,6;361,9;593,5;785,7;-;44,2;35,5;38,9;-;-;67,8;-;61,5;64,7;84,0;48,2;45,0;377,9;-
05166;    Viersen, Kreis;.;.;.;78,8;79,1;60,0;x;-;.;.;.;74,8;75,2;64,7;58,5;.;66,3;88,3;409,0;326,0;417,3;582,0;809,3;-;.;.;.;.;.;79,2;-;74,4;76,4;85,3;80,0;-;352,7;-
05170;    Wesel, Kreis;.;.;.;72,4;73,0;58,1;x;-;59,9;.;.;63,0;66,0;48,8;47,5;.;56,9;79,5;448,4;265,8;463,5;560,3;1047,0;-;.;.;40,9;23,0;-;87,9;-;88,1;86,9;99,1;65,8;-;416,6;-
053;  Köln, Regierungsbezirk;77,0;76,9;80,6;80,9;81,1;62,7;61,4;-;70,1;47,4;67,7;70,8;79,3;46,5;48,6;36,3;62,4;87,4;496,3;291,7;527,4;609,7;905,7;-;42,2;43,0;39,8;22,0;32,0;74,7;-;74,2;73,7;100,8;74,6;96,4;461,3;-
05313;    Aachen, krfr. Stadt;.;.;.;70,9;70,6;79,6;x;-;81,0;.;.;.;78,9;.;65,7;-;69,4;.;508,7;233,9;509,7;633,3;1001,0;-;-;-;.;-;-;.;-;80,0;78,7;95,0;.;-;416,7;-
05314;    Bonn, krfr. Stadt;.;.;.;.;.;.;x;-;.;-;.;.;.;.;.;-;.;.;.;.;.;.;.;-;.;.;-;.;-;.;-;.;.;.;.;-;.;-
05315;    Köln, krfr. Stadt;.;70,5;73,2;73,5;73,8;61,5;x;-;65,6;-;66,2;67,5;74,2;51,9;53,8;-;67,7;.;.;265,8;.;610,0;.;-;.;.;44,0;-;-;.;-;.;.;.;.;.;.;-
05316;    Leverkusen, krfr. Stadt;.;66,2;68,0;66,8;67,4;51,8;x;-;78,9;-;62,9;69,3;76,0;44,9;50,2;-;65,0;.;395,4;297,7;424,8;600,0;481,4;-;-;-;.;.;-;.;-;70,0;55,0;.;-;-;240,0;-
05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05354;    Aachen, Kreis;.;.;.;84,9;84,9;79,6;x;-;77,2;.;.;.;77,9;.;62,9;.;72,9;.;444,6;269,7;463,8;635,0;864,4;-;.;.;42,7;-;-;.;-;102,6;113,7;128,6;.;135,0;435,1;-
05358;    Düren, Kreis;.;.;.;82,6;82,8;65,7;x;-;66,8;68,1;.;78,7;82,8;56,1;57,2;.;71,7;87,1;471,8;316,2;493,0;610,5;884,3;-;41,8;-;39,6;22,0;32,0;.;-;87,4;92,1;76,0;.;.;466,6;-
05362;    Rhein-Erft-Kreis;.;.;.;84,3;84,4;69,7;x;-;74,9;.;.;78,4;81,5;64,4;61,8;.;67,8;89,2;438,3;264,4;484,0;597,0;990,1;-;.;.;40,0;-;.;.;-;80,0;.;82,0;.;94,9;451,6;-
05366;    Euskirchen, Kreis;65,7;65,6;74,6;75,0;75,3;52,3;x;-;71,2;40,1;54,3;56,7;78,8;37,3;33,2;28,6;50,7;85,0;507,2;298,8;538,8;615,9;1066,7;-;43,5;-;39,0;.;-;.;-;58,9;61,6;81,4;81,4;.;423,9;-
05370;    Heinsberg, Kreis;.;.;.;81,9;82,0;63,0;x;-;68,8;.;74,4;78,8;80,1;59,8;50,6;-;65,8;103,2;596,6;289,6;630,3;627,3;871,7;-;.;.;42,7;.;-;.;-;91,9;93,5;130,2;53,0;.;492,6;-
